,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
509,3860213468,Morning Run,2020-08-03T08:08:27Z,Run,8913.1,3003,3071,126.6,"[37.792213, -122.453499]",garmin_push_5331100559
510,3855291581,15 min Calming Meditation with Aditi Shah,2020-08-02T11:52:44Z,Workout,0.0,899,899,0,,11ebf188d9524e3c98a14a713c4f5045.tcx
511,3849464708,Morning Run,2020-08-01T09:14:40Z,Run,14794.6,4802,5154,106.2,"[37.770026, -122.481984]",garmin_push_5319781200
512,3843708440,Morning Run,2020-07-31T07:56:22Z,Run,2408.7,932,932,82.0,"[37.793614, -122.439285]",garmin_push_5313357800
513,3843707504,Morning Activity,2020-07-31T07:50:48Z,Workout,684.4,301,301,0,,garmin_push_5313356825
514,3843707260,Morning Run,2020-07-31T07:34:51Z,Run,2594.6,936,944,44.3,"[37.794404, -122.45869]",garmin_push_5313356478
515,3838800572,Morning Run,2020-07-30T07:24:03Z,Run,6404.3,2517,2525,154.7,"[37.793619, -122.439227]",garmin_push_5307520390
516,3833401684,Morning Run,2020-07-29T07:48:35Z,Run,8392.6,3020,3028,158.8,"[37.793611, -122.43925]",garmin_push_5301135429
517,3827890739,Morning Run,2020-07-28T07:56:23Z,Run,5393.6,2127,2136,134.2,"[37.793643, -122.439274]",garmin_push_5294511688
518,3827887183,Morning Run,2020-07-27T07:30:22Z,Run,9854.4,3660,3670,173.2,"[37.793674, -122.439282]",garmin_push_5294504245
519,3827880758,Lunch Walk,2020-07-26T11:33:19Z,Walk,5929.9,4388,5907,132.1,"[37.793578, -122.439248]",garmin_push_5294493067
520,3816063992,10 min Peace Meditation with Kristin McGee,2020-07-26T11:04:09Z,Workout,0.0,599,599,0,,54117a005153492496239fb8ef5958cc.tcx
521,3827875824,Morning Activity,2020-07-26T10:52:05Z,Workout,115.9,600,600,0,,garmin_push_5294486743
522,3827875550,Morning Activity,2020-07-26T10:18:50Z,Workout,127.2,1666,1666,0,,garmin_push_5294486070
523,3827874112,Morning Run,2020-07-25T09:16:18Z,Run,13322.0,4500,4904,155.8,"[37.768839, -122.485448]",garmin_push_5294484256
524,3827869464,Morning Run,2020-07-24T08:36:35Z,Run,1812.4,675,675,54.3,"[37.793724, -122.439318]",garmin_push_5294479837
525,3827868739,Morning Activity,2020-07-24T08:31:15Z,Workout,667.9,300,300,0,,garmin_push_5294479206
526,3827868555,Morning Run,2020-07-24T08:09:44Z,Run,3214.4,1232,1244,15.1,"[37.791408, -122.453566]",garmin_push_5294478848
527,3827866856,Morning Activity,2020-07-23T07:47:26Z,Workout,2165.7,1949,1949,0,,garmin_push_5294476785
528,3827864100,Morning Run,2020-07-23T07:01:07Z,Run,6428.8,2479,2487,167.6,"[37.793583, -122.439212]",garmin_push_5294470099
529,3801076789,Morning Run,2020-07-22T07:22:43Z,Run,7044.1,2703,3262,152.7,"[37.791571, -122.449229]",garmin_push_5276007289
530,3795840922,Morning Run,2020-07-21T07:32:15Z,Run,5749.9,2100,2110,58.2,"[37.793652, -122.439088]",garmin_push_5270781107
531,3790678716,Morning Run,2020-07-20T07:12:48Z,Run,9223.7,3241,3279,204.6,"[37.793518, -122.439297]",42C66B6A-EEDC-4681-89F1-A76BCD9BF7C0-activity.fit
532,3795839723,Morning Walk,2020-07-19T10:33:45Z,Walk,10710.5,15149,18411,106.4,"[37.793509, -122.439173]",garmin_push_5270779245
533,3782488636,Morning Run,2020-07-18T09:22:35Z,Run,12031.2,4200,5002,127.6,"[37.76994, -122.481988]",garmin_push_5257246995
534,3776201973,Morning Yoga,2020-07-17T08:06:09Z,Yoga,86.2,886,886,0,,garmin_push_5250951778
535,3776201359,Morning Run,2020-07-17T07:25:32Z,Run,5656.8,2125,2172,132.5,"[37.793603, -122.439238]",garmin_push_5250950990
536,3771255685,Morning Activity,2020-07-16T07:59:27Z,Workout,1805.1,1801,1801,0,,garmin_push_5245966281
537,3771257040,Morning Run,2020-07-16T07:30:12Z,Run,4141.7,1550,1550,67.5,"[37.793705, -122.439347]",garmin_push_5245967623
538,3766314697,Morning Run,2020-07-15T07:10:09Z,Run,7397.1,2705,3182,157.1,"[37.793647, -122.439199]",garmin_push_5241005493
539,3761288296,Morning Run,2020-07-14T07:33:35Z,Run,5627.9,2137,2156,125.3,"[37.793679, -122.43933]",garmin_push_5235974043
540,3758894228,Afternoon Activity,2020-07-13T17:52:40Z,Workout,1377.4,3301,3301,0,,garmin_push_5233419965
541,3756246416,Morning Run,2020-07-13T06:59:59Z,Run,9528.6,3313,3381,110.9,"[37.793564, -122.439317]",garmin_push_5230927767
542,3752815141,45 min Yoga Flow: Live from Home with Ross Rayburn,2020-07-12T10:16:58Z,Workout,0.0,2699,2699,0,,1d56d69998cb4706aee1547cc0621a04.tcx
543,3747247672,Morning Run,2020-07-11T09:12:46Z,Run,12271.9,4199,4460,131.8,"[37.770024, -122.485604]",garmin_push_5221857161
544,3741533697,Morning Yoga,2020-07-10T08:11:34Z,Yoga,109.9,767,767,0,,garmin_push_5216191336
545,3741533240,Morning Run,2020-07-10T07:37:56Z,Run,4976.9,1807,1816,120.4,"[37.793738, -122.439289]",garmin_push_5216190716
546,3736805447,HIIT Boxing,2020-07-09T07:49:17Z,Workout,1544.3,1561,1561,0,,garmin_push_5211398511
547,3736803635,Morning Run,2020-07-09T07:22:02Z,Run,3333.8,1206,1212,68.0,"[37.793634, -122.439113]",garmin_push_5211396635
548,3732135383,Morning Run,2020-07-08T07:22:32Z,Run,8332.5,3146,3180,179.3,"[37.793505, -122.439233]",garmin_push_5206705399
549,3732132504,Morning Activity,2020-07-07T08:12:55Z,Workout,223.4,421,421,0,,garmin_push_5206702717
550,3732132179,Morning Run,2020-07-07T07:39:03Z,Run,4820.4,1835,1858,75.2,"[37.793417, -122.439189]",garmin_push_5206702306
551,3721958791,Morning Run,2020-07-06T06:18:46Z,Run,8257.4,3026,3076,83.4,"[37.793589, -122.439255]",garmin_push_5196490617
552,3718813511,30 min Slow Flow with Aditi Shah,2020-07-05T17:40:13Z,Workout,0.0,1800,1800,0,,
553,3718942093,20 min Core Strength: Live from Home with Jess Sims,2020-07-05T11:15:26Z,Workout,0.0,1199,1199,0,,1afb320a7c1d4f34bab3139158fcaa90.tcx
554,3718831622,30 min Yoga Flow: Live from Home with Ross Rayburn,2020-07-05T10:40:34Z,Workout,0.0,1799,1799,0,,43bdf1b573d4432fa8c09f8cfd29be83.tcx
555,3721961732,Morning Run,2020-07-04T09:17:12Z,Run,11488.6,3901,4060,127.3,"[37.767412, -122.457737]",garmin_push_5196493459
556,3708857041,Lunch Run,2020-07-03T11:48:28Z,Run,6968.2,2405,2454,135.5,"[37.793563, -122.439222]",garmin_push_5183319742
557,3707851628,30 min All For One Yoga Flow with Multiple Instructors ,2020-07-03T08:17:26Z,Workout,0.0,1794,1794,0,,abe2283e422646d4a497b8a9786489fe.tcx
558,3703406437,Morning Walk,2020-07-02T08:56:42Z,Walk,4421.6,2544,2582,87.2,"[37.793597, -122.439432]",garmin_push_5177888235
559,3703070733,30 min Club Bangers Ride: Live from Home with Alex Toussaint,2020-07-02T08:00:18Z,Ride,14323.1,1798,1798,0,,stripped_health_data_42985926_1593703817.tcx
560,3703403653,Morning Run,2020-07-01T09:20:04Z,Run,8185.5,2897,3084,86.6,"[37.768182, -122.464806]",garmin_push_5177885417
561,3703399724,Morning Activity,2020-06-30T09:04:44Z,Workout,179.7,1687,1687,0,,garmin_push_5177881400
562,3693229274,Morning Run,2020-06-30T08:02:02Z,Run,5524.1,1799,1999,70.9,"[37.805162, -122.469873]",stripped_health_data_42985926_1593531595.gpx
563,3688945422,Morning Run,2020-06-29T09:15:23Z,Run,9163.4,2858,3114,54.0,"[37.768136, -122.466733]",stripped_health_data_42985926_1593450771.gpx
564,3686091514,Morning Walk,2020-06-28T09:40:46Z,Walk,8684.2,5252,8805,117.0,"[37.793755, -122.439225]",stripped_health_data_42985926_1593383694.gpx
565,3679762161,Morning Run,2020-06-27T09:12:42Z,Run,12047.8,3892,4111,77.1,"[37.770101, -122.483352]",stripped_health_data_42985926_1593280157.gpx
566,3674569071,Morning Walk,2020-06-26T09:36:10Z,Walk,1247.8,1090,1090,46.4,"[37.793513, -122.439309]",stripped_health_data_42985926_1593190555.gpx
567,3674567014,Morning Run,2020-06-26T08:57:27Z,Run,5697.2,2035,2311,75.7,"[37.791543, -122.450698]",stripped_health_data_42985926_1593190526.gpx
568,3671549145,Lunch Walk,2020-06-25T11:25:43Z,Walk,4888.8,3284,3284,91.2,"[37.793271, -122.439437]",stripped_health_data_42985926_1593127839.gpx
569,3670269189,20 min Hip Hop Ride  with Alex Toussaint,2020-06-25T10:56:05Z,Ride,9285.9,1195,1195,0,,stripped_health_data_42985926_1593108962.tcx
570,3671547399,Morning Walk,2020-06-25T09:59:58Z,Walk,4615.6,2856,2856,102.2,"[37.786813, -122.482839]",stripped_health_data_42985926_1593127802.gpx
571,3664970901,Morning Run,2020-06-24T09:18:52Z,Run,9676.0,3134,3520,86.9,"[37.767641, -122.457031]",stripped_health_data_42985926_1593019142.gpx
572,3659418043,Morning Run,2020-06-23T08:48:19Z,Run,5702.0,2079,2211,83.0,"[37.791405, -122.450767]",stripped_health_data_42985926_1592929563.gpx
573,3656527046,Afternoon Run,2020-06-22T17:48:46Z,Run,1162.4,3495,3495,0,,stripped_health_data_42985926_1592876884.tcx
574,3654771148,Morning Run,2020-06-22T09:17:46Z,Run,8578.7,2998,3085,88.7,"[37.768088, -122.46605]",stripped_health_data_42985926_1592848835.gpx
575,3644934240,Morning Run,2020-06-20T09:18:27Z,Run,10609.9,3604,3609,81.9,"[37.769454, -122.484809]",stripped_health_data_42985926_1592675876.gpx
576,3639282473,Morning Run,2020-06-19T09:55:43Z,Run,3357.1,1208,1281,61.2,"[37.790128, -122.458204]",stripped_health_data_42985926_1592587066.gpx
577,3635386415,45 min Hip Hop Ride with Hannah Frankson,2020-06-18T11:48:37Z,Ride,20326.0,2699,2699,0,,stripped_health_data_42985926_1592508924.tcx
578,3635449091,Morning Walk,2020-06-18T10:40:44Z,Walk,4860.7,3476,3619,87.8,"[37.786796, -122.48293]",stripped_health_data_42985926_1592509723.gpx
579,3630126918,Morning Run,2020-06-17T09:17:12Z,Run,7217.4,2388,2650,67.2,"[37.767771, -122.459449]",stripped_health_data_42985926_1592417302.gpx
580,3630118186,Lunch Run,2020-06-16T12:05:10Z,Run,2276.8,3522,3522,0,,stripped_health_data_42985926_1592417221.tcx
